YEAR,FLOW,SITC_1,DESCR_SITC_GR,DESCR_SITC_EN,VALUE IN EURO
2011,IMPORTS,9,ΕΙΔΗ ΚΑΙ ΣΥΝΑΛΛΑΓΕΣ ΜΗ ΤΑΞΙΝΟΜΗΜΕΝΑ ΚΑΤΑ ΚΑΤΗΓΟΡΙΕΣ,Commodities and transactions not classified elsewhere in the SITC,"96,352,914"
,,,,,"20,497,107,229"
,,,,,
,,,,,
2011,EXPORTS,0,ΤΡΟΦΙΜΑ ΚΑΙ ΖΩΑ ΖΩΝΤΑΝΑ,Food and live animals,"1,428,469,502"
2011,EXPORTS,1,ΠΟΤΑ ΚΑΙ ΚΑΠΝΟΣ,Beverages and tobacco,"194,833,088"
2011,EXPORTS,2,"ΠΡΩΤΕΣ ΥΛΕΣ ΜΗ ΕΔΩΔΙΜΕΣ, ΕΚΤΟΣ ΑΠΟ ΚΑΥΣΙΜΑ","Crude materials, inedible, except fuels","402,820,801"
2011,EXPORTS,3,"ΟΡΥΚΤΑ, ΚΑΥΣΙΜΑ, ΛΙΠΑΝΤΙΚΑ, ΚΛΠ.","Mineral fuels, lubricants and related materials","2,634,601,894"
2011,EXPORTS,4,ΛΑΔΙΑ ΚΑΙ ΛΙΠΗ ΖΩΙΚΗΣ Η' ΦΥΤΙΚΗΣ ΠΡΟΕΛΕΥΣΗΣ,"Animal and vegetable oils, fats and waxes","179,623,244"
2011,EXPORTS,5,"ΧΗΜΙΚΑ ΠΡΟΙΟΝΤΑ ΚΑΙ ΣΥΝΑΦΗ, (Μ.Α.Κ.)","Chemicals and related products, n.e.s.","1,026,169,855"
2011,EXPORTS,6,ΒΙΟΜΗΧΑΝΙΚΑ ΕΙΔΗ ΤΑΞΙΝΟΜΗΜΕΝΑ ΚΥΡΙΩΣ ΚΑΤΑ ΠΡΩΤΗ ΥΛΗ,Manufactured goods classified chiefly by material,"1,820,615,549"
2011,EXPORTS,7,ΜΗΧΑΝΗΜΑΤΑ ΚΑΙ ΥΛΙΚΟ ΜΕΤΑΦΟΡΩΝ,Machinery and transport equipment,"939,998,662"
2011,EXPORTS,8,ΔΙΑΦΟΡΑ ΒΙΟΜΗΧΑΝΙΚΑ ΕΙΔΗ,Miscellaneous manufactured articles,"690,241,372"
2011,EXPORTS,9,ΕΙΔΗ ΚΑΙ ΣΥΝΑΛΛΑΓΕΣ ΜΗ ΤΑΞΙΝΟΜΗΜΕΝΑ ΚΑΤΑ ΚΑΤΗΓΟΡΙΕΣ,Commodities and transactions not classified elsewhere in the SITC,"315,437,429"
,,,,,"9,632,811,396"
,,,,,
,,,,,
,,,,,
