date,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
exports,"11,184.60","11,719.90","13,566.00","15,160.60","17,705.90","20,624.20","21,921.40","17,721.00","21,031.10","23,840.20","27,147.30","26,895.60","26,788.00","24,787.20","24,486.70","27,928.80"
imports,"33,710.30","36,905.10","41,747.60","44,525.50","52,911.00","63,412.00","66,284.70","50,857.00","51,410.10","50,130.90","48,177.90","47,671.60","49,040.20","42,018.40","41,068.60","46,282.00"
